,Unnamed: 0,vintage,country,county,designation,points,price,province,title,variety,winery
50,50,1996,Portugal,,Late Bottled Vintage,91,,Port,Senhora do Convento 1996 Late Bottled Vintage (Port),Port,Senhora do Convento
51,51,1997,US,Rutherford,Baritelle Vyd,90,60.0,California,Bell 1997 Baritelle Vyd Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Bell
52,52,1997,Canada,Niagara Peninsula,Oak Aged Ice Wine,89,80.0,Ontario,Inniskillin 1997 Oak Aged Ice Wine Vidal Blanc (Niagara Peninsula),Vidal Blanc,Inniskillin
53,53,1997,US,Green Valley,Joy! Blanc de Blancs,97,179.0,California,Iron Horse 1997 Joy! Blanc de Blancs Sparkling (Green Valley),Sparkling Blend,Iron Horse
54,54,1997,US,Santa Ynez Valley,Lafond Vineyard,82,35.0,California,Lafond 1997 Lafond Vineyard Pinot Noir (Santa Ynez Valley),Pinot Noir,Lafond
55,55,1997,Italy,Amarone della Valpolicella Classico,Morar,91,50.0,Veneto,Valentina Cubi 1997 Morar (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Valentina Cubi
56,56,1997,US,Carneros,Brut Champagne,92,65.0,California,Frank Family 1997 Brut Champagne Sparkling (Carneros),Sparkling Blend,Frank Family
57,57,1997,US,Napa Valley,,89,40.0,California,Karl Lawrence 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Karl Lawrence
58,58,1997,France,Chablis,Les Blanchots,92,85.0,Burgundy,Domaine Laroche 1997 Les Blanchots (Chablis),Chardonnay,Domaine Laroche
59,59,1997,US,Stags Leap District,,90,48.0,California,Clos du Val 1997 Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,Clos du Val
60,60,1997,US,Finger Lakes,Blanc de Blancs,87,30.0,New York,Chateau Lafayette Reneau 1997 Blanc de Blancs (Finger Lakes),Champagne Blend,Chateau Lafayette Reneau
61,61,1997,Italy,Toscana,Montepaone,89,45.0,Tuscany,Castello di Montepo 1997 Montepaone Cabernet Sauvignon (Toscana),Cabernet Sauvignon,Castello di Montepo
62,62,1997,US,Sonoma Valley,,88,15.0,California,Valley of the Moon 1997 Zinfandel (Sonoma Valley),Zinfandel,Valley of the Moon
63,63,1997,US,Amador County,Grandmere,81,25.0,California,Renwood 1997 Grandmere Zinfandel (Amador County),Zinfandel,Renwood
64,64,1997,US,Carneros,,87,35.0,California,Robert Mondavi 1997 Merlot (Carneros),Merlot,Robert Mondavi
65,65,1997,US,Napa Valley,Generations,91,65.0,California,Raymond 1997 Generations Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Raymond
66,66,1997,Italy,Chianti Classico,Querciolo Riserva,84,22.0,Tuscany,Podere La Cappella 1997 Querciolo Riserva (Chianti Classico),Sangiovese,Podere La Cappella
67,67,1997,US,Rutherford,Estate Bottled Reserve,90,95.0,California,Peju 1997 Estate Bottled Reserve Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Peju
68,68,1997,US,Paso Robles,,90,21.0,California,AJB Vineyards 1997 Syrah (Paso Robles),Syrah,AJB Vineyards
69,69,1997,US,Napa Valley,,91,40.0,California,Chimney Rock 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Chimney Rock
70,70,1997,US,Dry Creek Valley,Gold Leaf Cuvee,82,18.0,California,Meeker 1997 Gold Leaf Cuvee Zinfandel (Dry Creek Valley),Zinfandel,Meeker
71,71,1997,US,Napa Valley,,90,30.0,California,Clos Pegase 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Clos Pegase
72,72,1997,Italy,Brunello di Montalcino,,93,55.0,Tuscany,La Gerla 1997 Brunello di Montalcino,Sangiovese,La Gerla
73,73,1997,Italy,Brunello di Montalcino,,92,65.0,Tuscany,Tenuta Caparzo 1997 Brunello di Montalcino,Sangiovese,Tenuta Caparzo
74,74,1997,Italy,Toscana,Selvamaggio,88,27.0,Tuscany,Villa La Selva 1997 Selvamaggio Cabernet Sauvignon (Toscana),Cabernet Sauvignon,Villa La Selva
75,75,1997,US,Napa Valley,Sycamore Vineyards,91,59.0,California,Freemark Abbey 1997 Sycamore Vineyards Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Freemark Abbey
76,76,1997,Italy,Brunello di Montalcino,,94,45.0,Tuscany,Tenuta di Sesta 1997 Brunello di Montalcino,Sangiovese,Tenuta di Sesta
77,77,1997,US,Santa Cruz Mountains,Bates' Ranch,90,35.0,California,Ahlgren 1997 Bates' Ranch Cabernet Sauvignon (Santa Cruz Mountains),Cabernet Sauvignon,Ahlgren
78,78,1997,US,Russian River Valley,Master's Reserve Blanc de Noir,82,14.0,California,Korbel 1997 Master's Reserve Blanc de Noir (Russian River Valley),Champagne Blend,Korbel
79,79,1997,US,Sonoma County,,88,16.0,California,Rodney Strong 1997 Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Rodney Strong
80,80,1997,US,Sonoma County,Century Vines,90,22.0,California,Sausal 1997 Century Vines Zinfandel (Sonoma County),Zinfandel,Sausal
81,81,1997,US,Napa-Monterey-Mendocino,J. Schram Late Disgorged 150th Anniversary Release,96,200.0,California,Schramsberg 1997 J. Schram Late Disgorged 150th Anniversary Release Sparkling (Napa-Monterey-Mendocino),Sparkling Blend,Schramsberg
82,82,1997,Australia,Padthaway,Limited Release,90,38.0,South Australia,Jacob's Creek 1997 Limited Release Chardonnay (Padthaway),Chardonnay,Jacob's Creek
83,83,1997,US,Green Valley,Wedding Cuvee Brut,90,28.0,California,Iron Horse 1997 Wedding Cuvee Brut (Green Valley),Champagne Blend,Iron Horse
84,84,1997,US,North Fork of Long Island,,83,18.0,New York,Palmer 1997 Merlot (North Fork of Long Island),Merlot,Palmer
85,85,1997,US,North Coast,Meritage,91,50.0,California,Langtry 1997 Meritage Red (North Coast),Bordeaux-style Red Blend,Langtry
86,86,1997,Italy,Franciacorta,Brut Riserva,85,28.0,Lombardy,Cornaleto 1997 Brut Riserva Sparkling (Franciacorta),Sparkling Blend,Cornaleto
87,87,1997,US,Santa Cruz Mountains,Bates Ranch,89,48.0,California,Thunder Mountain 1997 Bates Ranch Cabernet Sauvignon (Santa Cruz Mountains),Cabernet Sauvignon,Thunder Mountain
88,88,1997,US,Sonoma County,Christopher's Vineyard,90,70.0,California,Stonestreet 1997 Christopher's Vineyard Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Stonestreet
89,89,1997,US,Napa Valley,Reserve,89,39.0,California,Merryvale 1997 Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Merryvale
90,90,1997,US,Napa Valley,,91,32.0,California,Titus 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Titus
91,91,1997,France,Champagne,Palmes d'Or,91,120.0,Champagne,Nicolas Feuillatte 1997 Palmes d'Or (Champagne),Champagne Blend,Nicolas Feuillatte
92,92,1997,US,Chalk Hill,Special Edition Warnecke Vyd,89,42.0,California,Herzog 1997 Special Edition Warnecke Vyd Cabernet Sauvignon (Chalk Hill),Cabernet Sauvignon,Herzog
93,93,1997,US,Napa Valley,Blanc de Blancs,84,29.0,California,Schramsberg 1997 Blanc de Blancs (Napa Valley),Champagne Blend,Schramsberg
94,94,1997,US,Napa Valley,,89,60.0,California,The Terraces 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,The Terraces
95,95,1997,US,Sonoma County,Wallstrum Family,83,20.0,California,Newlan 1997 Wallstrum Family Zinfandel (Sonoma County),Zinfandel,Newlan
96,96,1997,US,Napa Valley,Reserve,94,42.0,California,Sequoia Grove 1997 Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sequoia Grove
97,97,1997,Italy,Vin Santo del Chianti Classico,Sant'Andrea Corsini,97,,Tuscany,Principe Corsini Fattoria Le Corti 1997 Sant'Andrea Corsini (Vin Santo del Chianti Classico),White Blend,Principe Corsini Fattoria Le Corti
98,98,1997,US,Napa Valley,Reserve Bella Vista Vineyard,88,41.0,California,Guenoc 1997 Reserve Bella Vista Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Guenoc
99,99,1997,US,Central Coast,,88,35.0,California,Treana 1997 Red (Central Coast),Rhone-style Red Blend,Treana
100,100,1997,US,Napa Valley,,89,45.0,California,Shafer 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Shafer
101,101,1997,Italy,Brunello di Montalcino,Greppone Mazzi,90,60.0,Tuscany,Ruffino 1997 Greppone Mazzi (Brunello di Montalcino),Sangiovese,Ruffino
102,102,1997,US,Stags Leap District,Sunshine Vyd,93,95.0,California,Hartwell 1997 Sunshine Vyd Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,Hartwell
103,103,1997,US,Napa Valley,Reserve,96,60.0,California,Lewis 1997 Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Lewis
104,104,1997,US,Napa Valley,,93,100.0,California,Far Niente 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Far Niente
105,105,1997,US,Dry Creek Valley,Bradford Mountain,91,21.0,California,Peterson 1997 Bradford Mountain Zinfandel (Dry Creek Valley),Zinfandel,Peterson
106,106,1997,US,Sonoma County,Buckeye Vyd,90,45.0,California,Kendall-Jackson 1997 Buckeye Vyd Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Kendall-Jackson
107,107,1997,US,Sonoma County,,90,50.0,California,Wattle Creek 1997 Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Wattle Creek
108,108,1998,Italy,Chianti,,84,7.0,Tuscany,VinArte 1998 Chianti,Sangiovese,VinArte
109,109,1998,US,Napa Valley,Fay Vineyard,93,75.0,California,Stag's Leap Wine Cellars 1998 Fay Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Stag's Leap Wine Cellars
110,110,1998,South Africa,,,86,16.0,Stellenbosch,Middelvlei 1998 Red (Stellenbosch),Red Blend,Middelvlei
111,111,1998,US,Sonoma County,OVOC,90,18.0,California,Alderbrook 1998 OVOC Zinfandel (Sonoma County),Zinfandel,Alderbrook
112,112,1998,Israel,,Vineyards Selected,82,12.0,Shomron,Carmel 1998 Vineyards Selected Shiraz (Shomron),Shiraz,Carmel
113,113,1998,US,California,C.S. Ridge Vineyard,90,20.0,California,Kunde 1998 C.S. Ridge Vineyard Chardonnay (California),Chardonnay,Kunde
114,114,1998,US,Sonoma Valley,Shaw Vineyard Century Vines,90,24.0,California,Kunde 1998 Shaw Vineyard Century Vines Zinfandel (Sonoma Valley),Zinfandel,Kunde
115,115,1998,US,North Fork of Long Island,Hargrave Vineyard,84,35.0,New York,Castello di Borghese 1998 Hargrave Vineyard Pinot Noir (North Fork of Long Island),Pinot Noir,Castello di Borghese
116,116,1998,US,Willamette Valley,Knight's Gambit Vyd,92,40.0,Oregon,La Bete 1998 Knight's Gambit Vyd Pinot Noir (Willamette Valley),Pinot Noir,La Bete
117,117,1998,US,Redwood Valley,,88,20.0,California,Lolonis 1998 Zinfandel (Redwood Valley),Zinfandel,Lolonis
118,118,1998,France,Chateauneuf-du-Pape,,88,23.0,Rhone Valley,Barton & Guestier 1998 Red (Chateauneuf-du-Pape),Rhone-style Red Blend,Barton & Guestier
119,119,1998,France,Costieres de Nimes,Prestige des Gibelins,88,15.0,Rhone Valley,Chateau Mas Neuf 1998 Prestige des Gibelins Red (Costieres de Nimes),Rhone-style Red Blend,Chateau Mas Neuf
120,120,1998,US,Santa Maria Valley,,85,20.0,California,Brophy Clark 1998 Pinot Noir (Santa Maria Valley),Pinot Noir,Brophy Clark
121,121,1998,France,Champagne,Dom Ruinart Brut Rose,95,275.0,Champagne,Ruinart 1998 Dom Ruinart Brut Rose (Champagne),Champagne Blend,Ruinart
122,122,1998,Spain,Rioja,Crianza 1998,86,14.0,Northern Spain,Otanon 1998 Crianza 1998 (Rioja),Red Blend,Otanon
123,123,1998,France,Champagne,Diamant Rose Brut,86,160.0,Champagne,Vranken 1998 Diamant Rose Brut (Champagne),Champagne Blend,Vranken
124,124,1998,US,Willamette Valley,Marjorie Vineyards,92,39.0,Oregon,Cristom 1998 Marjorie Vineyards Pinot Noir (Willamette Valley),Pinot Noir,Cristom
125,125,1998,Australia,Coonawarra,Bin 128,90,22.0,South Australia,Penfolds 1998 Bin 128 Shiraz (Coonawarra),Shiraz,Penfolds
126,126,1998,US,Alexander Valley,Alexander's Crown Vineyard,86,28.0,California,Rodney Strong 1998 Alexander's Crown Vineyard Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Rodney Strong
127,127,1998,US,Sonoma County,Old Vines,91,25.0,California,St. Francis 1998 Old Vines Zinfandel (Sonoma County),Zinfandel,St. Francis
128,128,1998,US,Napa Valley,,89,70.0,California,Caymus 1998 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Caymus
129,129,1998,US,Monterey,,89,16.0,California,Ventana 1998 Merlot (Monterey),Merlot,Ventana
130,130,1998,Italy,Toscana,Le Marze,89,40.0,Tuscany,Elisabetta 1998 Le Marze Red (Toscana),Bordeaux-style Red Blend,Elisabetta
131,131,1998,Italy,Chianti,I Sodi del Paretaio,83,11.0,Tuscany,Badia di Morrona 1998 I Sodi del Paretaio (Chianti),Sangiovese,Badia di Morrona
132,132,1998,US,Columbia Valley (WA),,87,20.0,Washington,Kiona 1998 Merlot (Columbia Valley (WA)),Merlot,Kiona
133,133,1998,US,California,Silhouette,89,55.0,California,Merryvale 1998 Silhouette Chardonnay (California),Chardonnay,Merryvale
134,134,1998,South Africa,,Unfiltered,85,15.0,Coastal Region,Fleur Du Cap 1998 Unfiltered Merlot (Coastal Region),Merlot,Fleur Du Cap
135,135,1998,Italy,Chianti Classico,,83,11.0,Tuscany,Nando 1998 Chianti Classico,Sangiovese,Nando
136,136,1998,US,California,Wildwood Vineyard,88,20.0,California,Kunde 1998 Wildwood Vineyard Chardonnay (California),Chardonnay,Kunde
137,137,1998,Chile,,,89,10.0,Colchagua Valley,Dallas Conte 1998 Chardonnay (Colchagua Valley),Chardonnay,Dallas Conte
138,138,1998,US,Willamette Valley,Bednarik Vineyard,92,48.0,Oregon,Panther Creek 1998 Bednarik Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Panther Creek
139,139,1998,US,Napa Valley,Reserve,89,45.0,California,Stag's Leap Wine Cellars 1998 Reserve Chardonnay (Napa Valley),Chardonnay,Stag's Leap Wine Cellars
140,140,1998,US,Alexander Valley,Estate Vineyards,85,26.0,California,Rodney Strong 1998 Estate Vineyards Merlot (Alexander Valley),Merlot,Rodney Strong
141,141,1998,US,Sonoma Valley,Jack London Vineyard,86,20.0,California,Kenwood 1998 Jack London Vineyard Zinfandel (Sonoma Valley),Zinfandel,Kenwood
142,142,1998,Italy,Chianti Classico,,84,12.0,Tuscany,Cecchi 1998 Chianti Classico,Sangiovese,Cecchi
143,143,1998,US,Willamette Valley,,87,22.0,Oregon,Silvan Ridge 1998 Pinot Noir (Willamette Valley),Pinot Noir,Silvan Ridge
144,144,1998,US,Yakima Valley,Red Willow Vyd,90,18.0,Washington,Columbia Winery 1998 Red Willow Vyd Sangiovese (Yakima Valley),Sangiovese,Columbia Winery
145,145,1998,France,Meursault,Chateau de Blagny Premier Cru,88,45.0,Burgundy,Louis Latour 1998 Chateau de Blagny Premier Cru (Meursault),Chardonnay,Louis Latour
146,146,1998,South Africa,,,86,22.0,Paarl,Plaisir De Merle 1998 Merlot (Paarl),Merlot,Plaisir De Merle
147,147,1998,US,,Shea Vineyard,94,48.0,America,Panther Creek 1998 Shea Vineyard Pinot Noir (America),Pinot Noir,Panther Creek
148,148,1998,US,California,Reserve,83,7.0,California,Glen Ellen 1998 Reserve Cabernet Sauvignon (California),Cabernet Sauvignon,Glen Ellen
149,149,1998,Spain,Rioja,Conde de Valdemar Crianza 1998,86,9.0,Northern Spain,Martinez Bujanda 1998 Conde de Valdemar Crianza 1998 (Rioja),Tempranillo,Martinez Bujanda
150,150,1998,US,Yakima Valley,,81,9.0,Washington,Hoodsport 1998 Chenin Blanc (Yakima Valley),Chenin Blanc,Hoodsport
151,151,1998,Portugal,,Colheita,93,53.0,Port,Niepoort 1998 Colheita (Port),Port,Niepoort
152,152,1998,US,Finger Lakes,Ice Wine,81,18.0,New York,Wagner 1998 Ice Wine Vidal Blanc (Finger Lakes),Vidal Blanc,Wagner
153,153,1998,US,Arroyo Grande Valley,,89,18.0,California,Brophy Clark 1998 Pinot Noir (Arroyo Grande Valley),Pinot Noir,Brophy Clark
154,154,1998,US,Willamette Valley,,83,9.0,Oregon,Duck Pond 1998 Pinot Noir (Willamette Valley),Pinot Noir,Duck Pond
155,155,1998,Italy,Sant'Antimo,Excelsus,90,73.0,Tuscany,Castello Banfi 1998 Excelsus Red (Sant'Antimo),Bordeaux-style Red Blend,Castello Banfi
156,156,1998,Israel,,Private Collection,84,12.0,Judean Hills,Carmel 1998 Private Collection Merlot (Judean Hills),Merlot,Carmel
157,157,1998,US,Willamette Valley,,87,15.0,Oregon,Evesham Wood 1998 Pinot Noir (Willamette Valley),Pinot Noir,Evesham Wood
158,158,1998,US,Santa Barbara County,Fathom,89,30.0,California,Babcock 1998 Fathom Red (Santa Barbara County),Bordeaux-style Red Blend,Babcock
159,159,1998,Chile,,Reserva,86,15.0,Maipo Valley,Cousino-Macul 1998 Reserva Merlot (Maipo Valley),Merlot,Cousino-Macul
160,160,1998,Italy,Sant'Antimo,Colvecchio,86,36.0,Tuscany,Castello Banfi 1998 Colvecchio Syrah (Sant'Antimo),Syrah,Castello Banfi
161,161,1998,Italy,Toscana,,89,28.0,Tuscany,Lucente 1998 Sangiovese (Toscana),Sangiovese,Lucente
162,162,1998,Portugal,,Colheita,87,22.0,Port,Calem 1998 Colheita (Port),Port,Calem
163,163,1998,US,Yakima Valley,,82,11.0,Washington,Hoodsport 1998 Chardonnay (Yakima Valley),Chardonnay,Hoodsport
164,164,1998,US,Sonoma County,,85,15.0,California,Kenwood 1998 Zinfandel (Sonoma County),Zinfandel,Kenwood
165,165,1998,US,North Fork of Long Island,Estate,83,13.0,New York,Palmer 1998 Estate Pinot Blanc (North Fork of Long Island),Pinot Blanc,Palmer
166,166,1998,US,Willamette Valley,AVS,91,40.0,Oregon,Adelsheim 1998 AVS Pinot Noir (Willamette Valley),Pinot Noir,Adelsheim
167,167,1998,US,Long Island,Peacock,84,9.0,New York,Pindar Vineyards 1998 Peacock Chardonnay (Long Island),Chardonnay,Pindar Vineyards
168,168,1998,US,North Fork of Long Island,Reserve,82,18.0,New York,Laurel Lake 1998 Reserve Cabernet Sauvignon (North Fork of Long Island),Cabernet Sauvignon,Laurel Lake
169,169,1998,US,California,Muirfield Vineyard,90,48.0,California,Siduri 1998 Muirfield Vineyard Pinot Noir (California),Pinot Noir,Siduri
170,170,1998,US,Arroyo Grande Valley,,86,28.0,California,Talley 1998 Pinot Noir (Arroyo Grande Valley),Pinot Noir,Talley
171,171,1998,US,Paso Robles,James Gang Reserve,87,26.0,California,Tobin James 1998 James Gang Reserve Zinfandel (Paso Robles),Zinfandel,Tobin James
172,172,1998,US,Napa Valley,,87,22.0,California,William Hill Estate 1998 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,William Hill Estate
173,173,1998,Italy,Chianti Classico,Riserva,90,22.0,Tuscany,Carpineto 1998 Riserva (Chianti Classico),Sangiovese,Carpineto
174,174,1998,US,Willamette Valley,Southeast Block Reserve,90,35.0,Oregon,Bethel Heights 1998 Southeast Block Reserve Pinot Noir (Willamette Valley),Pinot Noir,Bethel Heights
175,175,1998,US,Sonoma County,Reserve,86,15.0,California,Barefoot Cellars 1998 Reserve Pinot Noir (Sonoma County),Pinot Noir,Barefoot Cellars
