,vintage,country,county,designation,points,price,province,title,variety,winery
22,1994,Italy,Vin Santo del Chianti Rufina,Riserva,93,140.0,Tuscany,Fattoria di Grignano 1994 Riserva (Vin Santo del Chianti Rufina),White Blend,Fattoria di Grignano
23,1994,US,Sonoma County,,82,13.0,California,Gan Eden 1994 Chardonnay (Sonoma County),Chardonnay,Gan Eden
24,1995,France,Champagne,Premier Cru Blanc de Blancs Brut,89,48.0,Champagne,De Saint Gall 1995 Premier Cru Blanc de Blancs Brut (Champagne),Champagne Blend,De Saint Gall
25,1995,France,Champagne,Grand Cru Millésimé Blanc de Blancs Brut,91,,Champagne,Drappier 1995 Grand Cru Millésimé Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Drappier
26,1995,France,Champagne,Grande Cru Brut,90,60.0,Champagne,Soutiran 1995 Grande Cru Brut (Champagne),Champagne Blend,Soutiran
27,1995,Italy,Brunello di Montalcino,Riserva,84,56.0,Tuscany,Poggio Antico 1995 Riserva (Brunello di Montalcino),Sangiovese,Poggio Antico
28,1995,US,Anderson Valley,Blanc de Blancs,89,27.0,California,Pacific Echo 1995 Blanc de Blancs (Anderson Valley),Champagne Blend,Pacific Echo
29,1995,US,Sonoma County,Russian Cuvée,89,26.0,California,Iron Horse 1995 Russian Cuvée (Sonoma County),Champagne Blend,Iron Horse
30,1995,US,Anderson Valley,Blanc de Blancs,86,30.0,California,Handley 1995 Blanc de Blancs (Anderson Valley),Champagne Blend,Handley
31,1995,Spain,Rioja,Gran Reserva 904,92,60.0,Northern Spain,La Rioja Alta 1995 Gran Reserva 904 (Rioja),Tempranillo Blend,La Rioja Alta
32,1995,Germany,,Kaseler Dominikanerberg Spätlese,90,27.0,Mosel,C. von Nell-Breuning 1995 Kaseler Dominikanerberg Spätlese Riesling (Mosel),Riesling,C. von Nell-Breuning
33,1995,South Africa,,,87,17.0,Stellenbosch,Middelvlei 1995 Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Middelvlei
34,1995,US,Anderson Valley,Brut,88,25.0,California,Handley 1995 Brut (Anderson Valley),Champagne Blend,Handley
35,1995,Spain,Almansa,Reserva,84,10.0,Central Spain,Castillo de Almansa 1995 Reserva Red (Almansa),Red Blend,Castillo de Almansa
36,1996,US,California,Coastal Reserve,83,22.0,California,Meridian 1996 Coastal Reserve Cabernet Sauvignon (California),Cabernet Sauvignon,Meridian
37,1996,US,Yakima Valley,Whiskey Canyon Vyd,84,29.0,Washington,Covey Run 1996 Whiskey Canyon Vyd Cabernet Sauvignon (Yakima Valley),Cabernet Sauvignon,Covey Run
38,1996,US,Sonoma County,Winemaker's Reserve,88,35.0,California,Château Souverain 1996 Winemaker's Reserve Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Château Souverain
39,1996,US,Napa Valley,Brut,86,28.0,California,S. Anderson 1996 Brut (Napa Valley),Champagne Blend,S. Anderson
40,1996,Hungary,,Szt. Tamás Aszú 6 Puttonyos,91,77.0,Tokaji,Royal Tokaji 1996 Szt. Tamás Aszú 6 Puttonyos (Tokaji),Tokaji,Royal Tokaji
41,1996,Italy,Chianti Classico,Riserva,84,18.0,Tuscany,Querceto 1996 Riserva (Chianti Classico),Sangiovese,Querceto
42,1996,France,Champagne,Cuvée Femme Brut,95,120.0,Champagne,Duval-Leroy 1996 Cuvée Femme Brut (Champagne),Champagne Blend,Duval-Leroy
43,1996,France,Champagne,Dom Ruinart Brut Rosé,92,,Champagne,Ruinart 1996 Dom Ruinart Brut Rosé (Champagne),Champagne Blend,Ruinart
44,1996,Spain,Valencia,Reserva,85,9.0,Levante,Castillo Catadau 1996 Reserva Red (Valencia),Tempranillo Blend,Castillo Catadau
45,1996,France,Champagne,Le Mesnil sur Oger Grand Cru Blanc de Blancs Brut,94,,Champagne,Pascal Doquet 1996 Le Mesnil sur Oger Grand Cru Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Pascal Doquet
46,1996,Italy,Chianti Classico,Riserva,83,26.0,Tuscany,Castellare 1996 Riserva (Chianti Classico),Sangiovese,Castellare
47,1996,US,Sonoma Valley,Drummond Vineyard,87,24.0,California,Kunde 1996 Drummond Vineyard Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Kunde
48,1996,Australia,Padthaway,Reserve,88,46.0,South Australia,Stonehaven 1996 Reserve Shiraz (Padthaway),Shiraz,Stonehaven
49,1996,Italy,Piedmont,Dino Nero Spumante,90,36.0,Piedmont,Bruno Giacosa 1996 Dino Nero Spumante (Piedmont),Champagne Blend,Bruno Giacosa
50,1996,Portugal,,Late Bottled Vintage,91,,Port,Senhora do Convento 1996 Late Bottled Vintage (Port),Port,Senhora do Convento
51,1997,US,Rutherford,Baritelle Vyd,90,60.0,California,Bell 1997 Baritelle Vyd Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Bell
52,1997,Canada,Niagara Peninsula,Oak Aged Ice Wine,89,80.0,Ontario,Inniskillin 1997 Oak Aged Ice Wine Vidal Blanc (Niagara Peninsula),Vidal Blanc,Inniskillin
53,1997,US,Green Valley,Joy! Blanc de Blancs,97,179.0,California,Iron Horse 1997 Joy! Blanc de Blancs Sparkling (Green Valley),Sparkling Blend,Iron Horse
54,1997,US,Santa Ynez Valley,Lafond Vineyard,82,35.0,California,Lafond 1997 Lafond Vineyard Pinot Noir (Santa Ynez Valley),Pinot Noir,Lafond
55,1997,Italy,Amarone della Valpolicella Classico,Morar,91,50.0,Veneto,Valentina Cubi 1997 Morar (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Valentina Cubi
56,1997,US,Carneros,Brut Champagne,92,65.0,California,Frank Family 1997 Brut Champagne Sparkling (Carneros),Sparkling Blend,Frank Family
57,1997,US,Napa Valley,,89,40.0,California,Karl Lawrence 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Karl Lawrence
58,1997,France,Chablis,Les Blanchots,92,85.0,Burgundy,Domaine Laroche 1997 Les Blanchots (Chablis),Chardonnay,Domaine Laroche
59,1997,US,Stags Leap District,,90,48.0,California,Clos du Val 1997 Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,Clos du Val
60,1997,US,Finger Lakes,Blanc de Blancs,87,30.0,New York,Chateau Lafayette Reneau 1997 Blanc de Blancs (Finger Lakes),Champagne Blend,Chateau Lafayette Reneau
61,1997,Italy,Toscana,Montepaone,89,45.0,Tuscany,Castello di Montepò 1997 Montepaone Cabernet Sauvignon (Toscana),Cabernet Sauvignon,Castello di Montepò
62,1997,US,Sonoma Valley,,88,15.0,California,Valley of the Moon 1997 Zinfandel (Sonoma Valley),Zinfandel,Valley of the Moon
63,1997,US,Amador County,Grandmére,81,25.0,California,Renwood 1997 Grandmére Zinfandel (Amador County),Zinfandel,Renwood
64,1997,US,Carneros,,87,35.0,California,Robert Mondavi 1997 Merlot (Carneros),Merlot,Robert Mondavi
65,1997,US,Napa Valley,Generations,91,65.0,California,Raymond 1997 Generations Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Raymond
66,1997,Italy,Chianti Classico,Querciolo Riserva,84,22.0,Tuscany,Podere La Cappella 1997 Querciolo Riserva (Chianti Classico),Sangiovese,Podere La Cappella
67,1997,US,Rutherford,Estate Bottled Reserve,90,95.0,California,Peju 1997 Estate Bottled Reserve Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Peju
68,1997,US,Paso Robles,,90,21.0,California,AJB Vineyards 1997 Syrah (Paso Robles),Syrah,AJB Vineyards
69,1997,US,Napa Valley,,91,40.0,California,Chimney Rock 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Chimney Rock
70,1997,US,Dry Creek Valley,Gold Leaf Cuvee,82,18.0,California,Meeker 1997 Gold Leaf Cuvee Zinfandel (Dry Creek Valley),Zinfandel,Meeker
71,1997,US,Napa Valley,,90,30.0,California,Clos Pegase 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Clos Pegase
72,1997,Italy,Brunello di Montalcino,,93,55.0,Tuscany,La Gerla 1997 Brunello di Montalcino,Sangiovese,La Gerla
73,1997,Italy,Brunello di Montalcino,,92,65.0,Tuscany,Tenuta Caparzo 1997 Brunello di Montalcino,Sangiovese,Tenuta Caparzo
74,1997,Italy,Toscana,Selvamaggio,88,27.0,Tuscany,Villa La Selva 1997 Selvamaggio Cabernet Sauvignon (Toscana),Cabernet Sauvignon,Villa La Selva
75,1997,US,Napa Valley,Sycamore Vineyards,91,59.0,California,Freemark Abbey 1997 Sycamore Vineyards Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Freemark Abbey
76,1997,Italy,Brunello di Montalcino,,94,45.0,Tuscany,Tenuta di Sesta 1997 Brunello di Montalcino,Sangiovese,Tenuta di Sesta
77,1997,US,Santa Cruz Mountains,Bates' Ranch,90,35.0,California,Ahlgren 1997 Bates' Ranch Cabernet Sauvignon (Santa Cruz Mountains),Cabernet Sauvignon,Ahlgren
78,1997,US,Russian River Valley,Master's Reserve Blanc de Noir,82,14.0,California,Korbel 1997 Master's Reserve Blanc de Noir (Russian River Valley),Champagne Blend,Korbel
79,1997,US,Sonoma County,,88,16.0,California,Rodney Strong 1997 Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Rodney Strong
80,1997,US,Sonoma County,Century Vines,90,22.0,California,Sausal 1997 Century Vines Zinfandel (Sonoma County),Zinfandel,Sausal
81,1997,US,Napa-Monterey-Mendocino,J. Schram Late Disgorged 150th Anniversary Release,96,200.0,California,Schramsberg 1997 J. Schram Late Disgorged 150th Anniversary Release Sparkling (Napa-Monterey-Mendocino),Sparkling Blend,Schramsberg
82,1997,Australia,Padthaway,Limited Release,90,38.0,South Australia,Jacob's Creek 1997 Limited Release Chardonnay (Padthaway),Chardonnay,Jacob's Creek
83,1997,US,Green Valley,Wedding Cuvée Brut,90,28.0,California,Iron Horse 1997 Wedding Cuvée Brut (Green Valley),Champagne Blend,Iron Horse
84,1997,US,North Fork of Long Island,,83,18.0,New York,Palmer 1997 Merlot (North Fork of Long Island),Merlot,Palmer
85,1997,US,North Coast,Meritage,91,50.0,California,Langtry 1997 Meritage Red (North Coast),Bordeaux-style Red Blend,Langtry
86,1997,Italy,Franciacorta,Brut Riserva,85,28.0,Lombardy,Cornaleto 1997 Brut Riserva Sparkling (Franciacorta),Sparkling Blend,Cornaleto
87,1997,US,Santa Cruz Mountains,Bates Ranch,89,48.0,California,Thunder Mountain 1997 Bates Ranch Cabernet Sauvignon (Santa Cruz Mountains),Cabernet Sauvignon,Thunder Mountain
88,1997,US,Sonoma County,Christopher's Vineyard,90,70.0,California,Stonestreet 1997 Christopher's Vineyard Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Stonestreet
89,1997,US,Napa Valley,Reserve,89,39.0,California,Merryvale 1997 Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Merryvale
90,1997,US,Napa Valley,,91,32.0,California,Titus 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Titus
91,1997,France,Champagne,Palmes d'Or,91,120.0,Champagne,Nicolas Feuillatte 1997 Palmes d'Or (Champagne),Champagne Blend,Nicolas Feuillatte
92,1997,US,Chalk Hill,Special Edition Warnecke Vyd,89,42.0,California,Herzog 1997 Special Edition Warnecke Vyd Cabernet Sauvignon (Chalk Hill),Cabernet Sauvignon,Herzog
93,1997,US,Napa Valley,Blanc de Blancs,84,29.0,California,Schramsberg 1997 Blanc de Blancs (Napa Valley),Champagne Blend,Schramsberg
94,1997,US,Napa Valley,,89,60.0,California,The Terraces 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,The Terraces
95,1997,US,Sonoma County,Wallstrum Family,83,20.0,California,Newlan 1997 Wallstrum Family Zinfandel (Sonoma County),Zinfandel,Newlan
96,1997,US,Napa Valley,Reserve,94,42.0,California,Sequoia Grove 1997 Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sequoia Grove
97,1997,Italy,Vin Santo del Chianti Classico,Sant'Andrea Corsini,97,,Tuscany,Principe Corsini Fattoria Le Corti 1997 Sant'Andrea Corsini (Vin Santo del Chianti Classico),White Blend,Principe Corsini Fattoria Le Corti
98,1997,US,Napa Valley,Reserve Bella Vista Vineyard,88,41.0,California,Guenoc 1997 Reserve Bella Vista Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Guenoc
99,1997,US,Central Coast,,88,35.0,California,Treana 1997 Red (Central Coast),Rhône-style Red Blend,Treana
100,1997,US,Napa Valley,,89,45.0,California,Shafer 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Shafer
101,1997,Italy,Brunello di Montalcino,Greppone Mazzi,90,60.0,Tuscany,Ruffino 1997 Greppone Mazzi (Brunello di Montalcino),Sangiovese,Ruffino
102,1997,US,Stags Leap District,Sunshine Vyd,93,95.0,California,Hartwell 1997 Sunshine Vyd Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,Hartwell
103,1997,US,Napa Valley,Reserve,96,60.0,California,Lewis 1997 Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Lewis
104,1997,US,Napa Valley,,93,100.0,California,Far Niente 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Far Niente
105,1997,US,Dry Creek Valley,Bradford Mountain,91,21.0,California,Peterson 1997 Bradford Mountain Zinfandel (Dry Creek Valley),Zinfandel,Peterson
106,1997,US,Sonoma County,Buckeye Vyd,90,45.0,California,Kendall-Jackson 1997 Buckeye Vyd Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Kendall-Jackson
107,1997,US,Sonoma County,,90,50.0,California,Wattle Creek 1997 Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Wattle Creek
108,1998,Italy,Chianti,,84,7.0,Tuscany,VinArte 1998 Chianti,Sangiovese,VinArte
109,1998,US,Napa Valley,Fay Vineyard,93,75.0,California,Stag's Leap Wine Cellars 1998 Fay Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Stag's Leap Wine Cellars
110,1998,South Africa,,,86,16.0,Stellenbosch,Middelvlei 1998 Red (Stellenbosch),Red Blend,Middelvlei
111,1998,US,Sonoma County,OVOC,90,18.0,California,Alderbrook 1998 OVOC Zinfandel (Sonoma County),Zinfandel,Alderbrook
112,1998,Israel,,Vineyards Selected,82,12.0,Shomron,Carmel 1998 Vineyards Selected Shiraz (Shomron),Shiraz,Carmel
113,1998,US,California,C.S. Ridge Vineyard,90,20.0,California,Kunde 1998 C.S. Ridge Vineyard Chardonnay (California),Chardonnay,Kunde
114,1998,US,Sonoma Valley,Shaw Vineyard Century Vines,90,24.0,California,Kunde 1998 Shaw Vineyard Century Vines Zinfandel (Sonoma Valley),Zinfandel,Kunde
115,1998,US,North Fork of Long Island,Hargrave Vineyard,84,35.0,New York,Castello di Borghese 1998 Hargrave Vineyard Pinot Noir (North Fork of Long Island),Pinot Noir,Castello di Borghese
116,1998,US,Willamette Valley,Knight's Gambit Vyd,92,40.0,Oregon,La Bete 1998 Knight's Gambit Vyd Pinot Noir (Willamette Valley),Pinot Noir,La Bete
117,1998,US,Redwood Valley,,88,20.0,California,Lolonis 1998 Zinfandel (Redwood Valley),Zinfandel,Lolonis
118,1998,France,Châteauneuf-du-Pape,,88,23.0,Rhône Valley,Barton & Guestier 1998 Red (Châteauneuf-du-Pape),Rhône-style Red Blend,Barton & Guestier
119,1998,France,Costières de Nîmes,Prestige des Gibelins,88,15.0,Rhône Valley,Château Mas Neuf 1998 Prestige des Gibelins Red (Costières de Nîmes),Rhône-style Red Blend,Château Mas Neuf
120,1998,US,Santa Maria Valley,,85,20.0,California,Brophy Clark 1998 Pinot Noir (Santa Maria Valley),Pinot Noir,Brophy Clark
121,1998,France,Champagne,Dom Ruinart Brut Rosé,95,275.0,Champagne,Ruinart 1998 Dom Ruinart Brut Rosé (Champagne),Champagne Blend,Ruinart
122,1998,Spain,Rioja,Crianza 1998,86,14.0,Northern Spain,Otanon 1998 Crianza 1998 (Rioja),Red Blend,Otanon
123,1998,France,Champagne,Diamant Rosé Brut,86,160.0,Champagne,Vranken 1998 Diamant Rosé Brut (Champagne),Champagne Blend,Vranken
124,1998,US,Willamette Valley,Marjorie Vineyards,92,39.0,Oregon,Cristom 1998 Marjorie Vineyards Pinot Noir (Willamette Valley),Pinot Noir,Cristom
125,1998,Australia,Coonawarra,Bin 128,90,22.0,South Australia,Penfolds 1998 Bin 128 Shiraz (Coonawarra),Shiraz,Penfolds
126,1998,US,Alexander Valley,Alexander's Crown Vineyard,86,28.0,California,Rodney Strong 1998 Alexander's Crown Vineyard Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Rodney Strong
127,1998,US,Sonoma County,Old Vines,91,25.0,California,St. Francis 1998 Old Vines Zinfandel (Sonoma County),Zinfandel,St. Francis
128,1998,US,Napa Valley,,89,70.0,California,Caymus 1998 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Caymus
129,1998,US,Monterey,,89,16.0,California,Ventana 1998 Merlot (Monterey),Merlot,Ventana
130,1998,Italy,Toscana,Le Marze,89,40.0,Tuscany,Elisabetta 1998 Le Marze Red (Toscana),Bordeaux-style Red Blend,Elisabetta
131,1998,Italy,Chianti,I Sodi del Paretaio,83,11.0,Tuscany,Badia di Morrona 1998 I Sodi del Paretaio (Chianti),Sangiovese,Badia di Morrona
132,1998,US,Columbia Valley (WA),,87,20.0,Washington,Kiona 1998 Merlot (Columbia Valley (WA)),Merlot,Kiona
133,1998,US,California,Silhouette,89,55.0,California,Merryvale 1998 Silhouette Chardonnay (California),Chardonnay,Merryvale
134,1998,South Africa,,Unfiltered,85,15.0,Coastal Region,Fleur Du Cap 1998 Unfiltered Merlot (Coastal Region),Merlot,Fleur Du Cap
135,1998,Italy,Chianti Classico,,83,11.0,Tuscany,Nando 1998 Chianti Classico,Sangiovese,Nando
136,1998,US,California,Wildwood Vineyard,88,20.0,California,Kunde 1998 Wildwood Vineyard Chardonnay (California),Chardonnay,Kunde
137,1998,Chile,,,89,10.0,Colchagua Valley,Dallas Conté 1998 Chardonnay (Colchagua Valley),Chardonnay,Dallas Conté
138,1998,US,Willamette Valley,Bednarik Vineyard,92,48.0,Oregon,Panther Creek 1998 Bednarik Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Panther Creek
139,1998,US,Napa Valley,Reserve,89,45.0,California,Stag's Leap Wine Cellars 1998 Reserve Chardonnay (Napa Valley),Chardonnay,Stag's Leap Wine Cellars
140,1998,US,Alexander Valley,Estate Vineyards,85,26.0,California,Rodney Strong 1998 Estate Vineyards Merlot (Alexander Valley),Merlot,Rodney Strong
141,1998,US,Sonoma Valley,Jack London Vineyard,86,20.0,California,Kenwood 1998 Jack London Vineyard Zinfandel (Sonoma Valley),Zinfandel,Kenwood
142,1998,Italy,Chianti Classico,,84,12.0,Tuscany,Cecchi 1998 Chianti Classico,Sangiovese,Cecchi
143,1998,US,Willamette Valley,,87,22.0,Oregon,Silvan Ridge 1998 Pinot Noir (Willamette Valley),Pinot Noir,Silvan Ridge
144,1998,US,Yakima Valley,Red Willow Vyd,90,18.0,Washington,Columbia Winery 1998 Red Willow Vyd Sangiovese (Yakima Valley),Sangiovese,Columbia Winery
145,1998,France,Meursault,Château de Blagny Premier Cru,88,45.0,Burgundy,Louis Latour 1998 Château de Blagny Premier Cru (Meursault),Chardonnay,Louis Latour
146,1998,South Africa,,,86,22.0,Paarl,Plaisir De Merle 1998 Merlot (Paarl),Merlot,Plaisir De Merle
147,1998,US,,Shea Vineyard,94,48.0,America,Panther Creek 1998 Shea Vineyard Pinot Noir (America),Pinot Noir,Panther Creek
148,1998,US,California,Reserve,83,7.0,California,Glen Ellen 1998 Reserve Cabernet Sauvignon (California),Cabernet Sauvignon,Glen Ellen
149,1998,Spain,Rioja,Conde de Valdemar Crianza 1998,86,9.0,Northern Spain,Martinez Bujanda 1998 Conde de Valdemar Crianza 1998 (Rioja),Tempranillo,Martinez Bujanda
150,1998,US,Yakima Valley,,81,9.0,Washington,Hoodsport 1998 Chenin Blanc (Yakima Valley),Chenin Blanc,Hoodsport
151,1998,Portugal,,Colheita,93,53.0,Port,Niepoort 1998 Colheita (Port),Port,Niepoort
152,1998,US,Finger Lakes,Ice Wine,81,18.0,New York,Wagner 1998 Ice Wine Vidal Blanc (Finger Lakes),Vidal Blanc,Wagner
153,1998,US,Arroyo Grande Valley,,89,18.0,California,Brophy Clark 1998 Pinot Noir (Arroyo Grande Valley),Pinot Noir,Brophy Clark
154,1998,US,Willamette Valley,,83,9.0,Oregon,Duck Pond 1998 Pinot Noir (Willamette Valley),Pinot Noir,Duck Pond
155,1998,Italy,Sant'Antimo,Excelsus,90,73.0,Tuscany,Castello Banfi 1998 Excelsus Red (Sant'Antimo),Bordeaux-style Red Blend,Castello Banfi
156,1998,Israel,,Private Collection,84,12.0,Judean Hills,Carmel 1998 Private Collection Merlot (Judean Hills),Merlot,Carmel
157,1998,US,Willamette Valley,,87,15.0,Oregon,Evesham Wood 1998 Pinot Noir (Willamette Valley),Pinot Noir,Evesham Wood
158,1998,US,Santa Barbara County,Fathom,89,30.0,California,Babcock 1998 Fathom Red (Santa Barbara County),Bordeaux-style Red Blend,Babcock
159,1998,Chile,,Reserva,86,15.0,Maipo Valley,Cousiño-Macul 1998 Reserva Merlot (Maipo Valley),Merlot,Cousiño-Macul
160,1998,Italy,Sant'Antimo,Colvecchio,86,36.0,Tuscany,Castello Banfi 1998 Colvecchio Syrah (Sant'Antimo),Syrah,Castello Banfi
161,1998,Italy,Toscana,,89,28.0,Tuscany,Lucente 1998 Sangiovese (Toscana),Sangiovese,Lucente
162,1998,Portugal,,Colheita,87,22.0,Port,Cálem 1998 Colheita (Port),Port,Cálem
163,1998,US,Yakima Valley,,82,11.0,Washington,Hoodsport 1998 Chardonnay (Yakima Valley),Chardonnay,Hoodsport
164,1998,US,Sonoma County,,85,15.0,California,Kenwood 1998 Zinfandel (Sonoma County),Zinfandel,Kenwood
165,1998,US,North Fork of Long Island,Estate,83,13.0,New York,Palmer 1998 Estate Pinot Blanc (North Fork of Long Island),Pinot Blanc,Palmer
166,1998,US,Willamette Valley,AVS,91,40.0,Oregon,Adelsheim 1998 AVS Pinot Noir (Willamette Valley),Pinot Noir,Adelsheim
167,1998,US,Long Island,Peacock,84,9.0,New York,Pindar Vineyards 1998 Peacock Chardonnay (Long Island),Chardonnay,Pindar Vineyards
168,1998,US,North Fork of Long Island,Reserve,82,18.0,New York,Laurel Lake 1998 Reserve Cabernet Sauvignon (North Fork of Long Island),Cabernet Sauvignon,Laurel Lake
169,1998,US,California,Muirfield Vineyard,90,48.0,California,Siduri 1998 Muirfield Vineyard Pinot Noir (California),Pinot Noir,Siduri
170,1998,US,Arroyo Grande Valley,,86,28.0,California,Talley 1998 Pinot Noir (Arroyo Grande Valley),Pinot Noir,Talley
171,1998,US,Paso Robles,James Gang Reserve,87,26.0,California,Tobin James 1998 James Gang Reserve Zinfandel (Paso Robles),Zinfandel,Tobin James
172,1998,US,Napa Valley,,87,22.0,California,William Hill Estate 1998 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,William Hill Estate
173,1998,Italy,Chianti Classico,Riserva,90,22.0,Tuscany,Carpineto 1998 Riserva (Chianti Classico),Sangiovese,Carpineto
174,1998,US,Willamette Valley,Southeast Block Reserve,90,35.0,Oregon,Bethel Heights 1998 Southeast Block Reserve Pinot Noir (Willamette Valley),Pinot Noir,Bethel Heights
175,1998,US,Sonoma County,Reserve,86,15.0,California,Barefoot Cellars 1998 Reserve Pinot Noir (Sonoma County),Pinot Noir,Barefoot Cellars
176,1998,Chile,,Concepcion Reserva,86,11.0,Maule Valley,Francisco Gillmore 1998 Concepcion Reserva Cabernet Sauvignon (Maule Valley),Cabernet Sauvignon,Francisco Gillmore
177,1998,France,Champagne,Chardonnay Blanc de Blancs Brut,89,40.0,Champagne,Nicolas Feuillatte 1998 Chardonnay Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Nicolas Feuillatte
178,1998,US,Willamette Valley,Louise Vineyard,88,39.0,Oregon,Cristom 1998 Louise Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Cristom
179,1998,US,Russian River Valley,Collins Vineyard,90,26.0,California,Limerick Lane 1998 Collins Vineyard Zinfandel (Russian River Valley),Zinfandel,Limerick Lane
180,1998,Portugal,,Couto de Frades,85,10.0,Vinho Verde,Quintas de Melgaço 1998 Couto de Frades Alvarinho (Vinho Verde),Alvarinho,Quintas de Melgaço
