winery,web,region,country,latlong
Slamka Cellars Winery,, British Columbia  ,Canada ,
St. Hubertus Estate Winery,, British Columbia - Okanagan Valley  ,Canada ,
Stag's Hollow Winery & Vineyard,, British Columbia  ,Canada ,
Sumac Ridge Estate Winery,, British Columbia  ,Canada ,
Summerhill Estate Winery,, British Columbia - Okanagan Valley  ,Canada ,
The Vineyard at Bowen Island ,, British Columbia  ,Canada ,
Thornhaven Estate Winery and Calliope Vintners,, British Columbia  ,Canada ,
Tinhorn Creek Vineyards,, British Columbia - Okanagan Valley  ,Canada ,
Township 7 Vineyards and Winery,, British Columbia  ,Canada ,
Venturi-Schulze,, British Columbia  ,Canada ,
Vicori Winery,, British Columbia  ,Canada ,
Victoria Estate Winery,, British Columbia  ,Canada ,
Wild Goose Vineyards,, British Columbia  ,Canada ,
Yellowpoint Vineyard,, British Columbia  ,Canada ,
"Applemanfarms, LLC.",, New Brunswick  ,Canada ,
Belliveau Orchard,, New Brunswick  ,Canada ,
Gillis of Belleisle Wineyard & Winery,, New Brunswick  ,Canada ,
La Ferme Maury,, New Brunswick  ,Canada ,
Magnetic Hill Winery,, New Brunswick  ,Canada ,
Tierney Point Winery,, New Brunswick  ,Canada ,
Tuddenham Farms,, New Brunswick  ,Canada ,
Winegarden Estate,, New Brunswick  ,Canada ,
Rodrigues Markland Cottage Winery,, Newfoundland  ,Canada ,
Bear River Vineyards,, Nova Scotia  ,Canada ,
Grand Pre Wines,, Nova Scotia  ,Canada ,
Jost Vineyards,, Nova Scotia  ,Canada ,
Sainte-Famille Wines,, Nova Scotia  ,Canada ,
Andres Wines,, Ontario - Niagara  ,Canada ,
Archibald's Estate Winery,, Ontario  ,Canada ,
Bellamere Country Market & Winery,, Ontario  ,Canada ,
Birchwood Estate Wines,, Ontario  ,Canada ,
Black Prince Winery,, Ontario - Prince Edward County  ,Canada ,
By Chadsey's Cairns Winery and Vineyard,, Ontario - Prince Edward County  ,Canada ,
Carmela Estates Winery,, Ontario - Prince Edward County  ,Canada ,
Cave Spring Cellars,, Ontario - Niagara  ,Canada ,
Chateau des Charmes Wines,, Ontario - Niagara  ,Canada ,
Cilento Winery,, Ontario - Niagara  ,Canada ,
Closson Chase Vineyards,, Ontario - Prince Edward County  ,Canada ,
County Cider Company,, Ontario - Prince Edward County  ,Canada ,
Cox Creek Cellars,, Ontario  ,Canada ,
Creekside Estate Winery,, Ontario  ,Canada ,
Crown Bench Estates Winery,, Ontario  ,Canada ,
D'Angelo Estate Winery,, Ontario  ,Canada ,
De Sousa Wine Cellars,, Ontario - Niagara  ,Canada ,
EastDell Estates Winery,, Ontario - Niagara  ,Canada ,
Harbour Estates Winery,, Ontario - Niagara  ,Canada ,
Harvest Estate Wines,, Ontario  ,Canada ,
Henry of Pelham Family Estate,, Ontario - Niagara  ,Canada ,
Hernder Estate Wines,, Ontario - Niagara  ,Canada ,
Hillebrand Estates,, Ontario - Niagara  ,Canada ,
Huff Estates,, Ontario - Prince Edward County  ,Canada ,
Inniskillin Wines,, Ontario - Niagara  ,Canada ,
Joseph's Estate Wines,,ON Ontario - Niagara  ,Canada ,
Kacaba Vineyards,, Ontario  ,Canada ,
Kittling Ridge Winery,, Ontario  ,Canada ,
Konzelmann Estate Winery,, Ontario - Niagara Peninsula  ,Canada ,
Lakeview Cellars Estate Winery,, Ontario - Niagara  ,Canada ,
LeBlanc Estate Winery,, Ontario  ,Canada ,
Magnotta Winery,,ON Ontario  ,Canada ,
Malivoire Wine Company,, Ontario - Niagara  ,Canada ,
Maplegrove Vinoteca Estate Winery,, Ontario  ,Canada ,
Marynissen Estate,, Ontario - Niagara  ,Canada ,
Meadow Lane Winery,, Ontario  ,Canada ,
Milan Wineries,, Ontario  ,Canada ,
Mosquito Creek Vineyards,, Ontario  ,Canada ,
Norfolk Estate Winery,, Ontario  ,Canada ,
Ocala Winery,, Ontario  ,Canada ,
Pelee Island Winery,, Ontario - Pelee Island  ,Canada ,
Peller Estates/Andres Wines,, Ontario - Niagara  ,Canada ,
Peninsula Ridge Estates,, Ontario  ,Canada ,
Pillitterii Estates Winery,, Ontario - Niagara  ,Canada ,
Puddicombe Estate Winery,, Ontario  ,Canada ,
Quai Du Vin Estate Winery,, Ontario  ,Canada ,
Reif Estate Winery,, Ontario  ,Canada ,
Rossignol Estate Winery,, Ontario - Prince Edward County  ,Canada ,
Royal DeMaria Wines,, Ontario  ,Canada ,
Rush Creek Wines,, Ontario  ,Canada ,
Scotch Block Winery,, Ontario  ,Canada ,
Southbrook Winery & Farm,, Ontario - Niagara  ,Canada ,
St. Jacob's Winery & Cidery,, Ontario  ,Canada ,
Stonechurch Vineyards,, Ontario  ,Canada ,
Stoney Ridge Estate Winery,, Ontario - Niagara  ,Canada ,
Strewn Estate Winery,, Ontario - Niagara  ,Canada ,
Sunnybrook Farm Estate Winery,, Ontario - Niagara  ,Canada ,
The Grange of Prince Edward Estate Winery,, Ontario - Prince Edward County  ,Canada ,
Thirty Bench Vineyard and Winery,, Ontario - Niagara  ,Canada ,
Thomas & Vaughan Vintners,, Ontario  ,Canada ,
Thornhill Winery,, Ontario  ,Canada ,
Vineland Estates Winery,, Ontario - Niagara  ,Canada ,
Vinoteca Winery,, Ontario  ,Canada ,
VP Cellars,, Ontario  ,Canada ,
Waupoos Estates Winery,, Ontario - Prince Edward County  ,Canada ,
Willow Heights Winery,, Ontario - Niagara  ,Canada ,
Artisans du Terroir,, Quebec  ,Canada ,
Vignoble Angile,, Quebec  ,Canada ,
Vignoble Cep d' Argent,, Quebec  ,Canada ,
Vignoble de Orpailleur,, Quebec  ,Canada ,
Vignoble la Bauge,, Quebec  ,Canada ,
Bergeron Estate Winery,,,Canada ,
Blue Grouse Vineyards & Winery,,,Canada ,
Blue Moon Winery,,,Canada ,
Cherry Point Vineyards,,,Canada ,
Coastal Black Estate Winery,,,Canada ,
Colio Estate Wines,,,Canada ,
Daniel Lenko Estate Winery,,,Canada ,
Domaine de Grand Pré,,,Canada ,
Generation Seven Wines,,,Canada ,
Kermode Wild Berry Wines,,,Canada ,
La Bauge,,,Canada ,
Long Dog Winery,,,Canada ,
Lulu Island Winery,,,Canada ,
Lunenburg County Winery,,,Canada ,
Raven Ridge Cidery Inc,,,Canada ,
Rockway Glen Golf Course & Winery,,,Canada ,
Serendipity Winery,,,Canada ,
Seven Stones Winery,,,Canada ,
Tanatalus Vineyards,,,Canada ,
Vigneti Zanatta,,,Canada ,
Vignoble Bourg Royal,,,Canada ,
Vignoble des Pins,,,Canada ,
Vignoble Morou,,,Canada ,
Vincor International,,,Canada ,
