,winery,cities
921,Edmeades,Philo
1293,Goldeneye,Philo
402,Greenwood Ridge,Philo
222,Handley,Philo
4,Husch,Philo
316,Jim Ball,Philo
1731,Lazy Creek,Philo
1480,Lula,Philo
1744,Boeger,Placerville
555,David Girard,Placerville
739,Holly's Hill,Placerville
390,Lava Cap,Placerville
1592,Amador Cellars,Plymouth
371,Amador Foothill Winery,Plymouth
673,Andis,Plymouth
1538,Bella Grace,Plymouth
644,Borjon,Plymouth
578,Bray,Plymouth
766,Deaver,Plymouth
23,Di Arie,Plymouth
1365,Helwig,Plymouth
97,Bjorn,Pope Valley
1677,Calla Lily,Pope Valley
655,Joseph Filippi,Rancho Cucamonga
1761,La Honda Winery,Redwood City
763,Barra of Mendocino,Redwood Valley
1372,Frey,Redwood Valley
867,Highland Hills Winery,Romona
76,Alpha Omega,Rutherford
866,Bacio Divino,Rutherford
432,Beaulieu Vineyard,Rutherford
792,Belle Glos,Rutherford
547,Bello Family Vineyards,Rutherford
1371,Cakebread,Rutherford
1712,Caymus,Rutherford
300,Faust,Rutherford
462,Grgich Hills,Rutherford
768,Hall,Rutherford
344,Hewitt,Rutherford
1080,Layer Cake,Rutherford
1430,Leto,Rutherford
1652,Apriori,Saint Helena
205,Aril,Saint Helena
57,Ballentine,Saint Helena
1344,Barnett,Saint Helena
169,Benessere,Saint Helena
946,Beringer,Saint Helena
1415,Boeschen Vineyards,Saint Helena
1132,Brown Estate,Saint Helena
185,Buehler,Saint Helena
962,Cairdean Estate,Saint Helena
1237,Casa Nuestra,Saint Helena
583,Casey Flat Ranch,Saint Helena
1027,Chappellet,Saint Helena
482,Charles Krug,Saint Helena
115,Chase,Saint Helena
618,Clif Family,Saint Helena
1533,Coniglio,Saint Helena
1208,Conn Creek,Saint Helena
1735,D.R. Stephens,Saint Helena
29,David Arthur,Saint Helena
621,David Fulton,Saint Helena
570,Delectus,Saint Helena
421,Duckhorn,Saint Helena
1585,Ehlers Estate,Saint Helena
818,Failla,Saint Helena
1117,Flora Springs,Saint Helena
759,Franciscan,Saint Helena
363,Freemark Abbey,Saint Helena
136,Gandona,Saint Helena
1826,Heitz,Saint Helena
1610,Hibou,Saint Helena
1216,Hourglass,Saint Helena
540,Hunnicutt,Saint Helena
746,JCB,Saint Helena
791,Joseph Phelps,Saint Helena
573,Kuleto Estate,Saint Helena
1235,La Sirena,Saint Helena
1695,Lang & Reed,Saint Helena
254,Lawer,Saint Helena
951,Long Meadow Ranch,Saint Helena
1228,Louis M. Martini,Saint Helena
47,Merryvale,Saint Helena
62,Newton,Saint Helena
54,Titus,Saint Helena
13,Trinchero,Saint Helena
37,V. Sattui,Saint Helena
1172,De Tierra,Salinas
1745,DeTierra Vineyards,Salinas
301,Flocchini,San Carlos
880,August West,San Francisco
551,Bravium,San Francisco
401,David Family,San Francisco
1511,Flywheel,San Francisco
813,Heron,San Francisco
1520,JAQK Cellars,San Francisco
1532,Les Belles Collines,San Francisco
1184,Les Voleurs,San Francisco
1156,Comartin,San Jose
114,J. Lohr,San Jose
624,Lockwood,San Lucas
1111,Baker & Brain,San Luis Obispo
887,Chamisal Vineyards,San Luis Obispo
389,Claiborne & Churchill,San Luis Obispo
1144,Edna Valley Vineyard,San Luis Obispo
1400,Jackhammer,San Luis Obispo
1113,Left Bend,San Martin
1554,Lion Ranch,San Martin
415,Castoro Cellars,San Miguel
1071,Cholame,San Miguel
1444,Four Sisters Ranch,San Miguel
1356,Graveyard,San Miguel
443,Hearst Ranch,San Simeon
853,Cedar View Winery,Sanger
847,Avelina,Santa Barbara
156,Conway,Santa Barbara
314,Jaffurs,Santa Barbara
1157,Jamie Slone Wines,Santa Barbara
1760,Hoi Polloi,Santa Clarita
1647,Cambiata,Santa Cruz
138,Ancient Peaks,Santa Margarita
111,Au Bon Climat,Santa Maria
793,Bien Nacido,Santa Maria
247,Foxen,Santa Maria
1388,J Wilkes,Santa Maria
1368,J. Wilkes,Santa Maria
495,Kenneth Volk,Santa Maria
1634,Lumen,Santa Maria
659,Bonaccorsi,Santa Monica
282,Ancient Oak Cellars,Santa Rosa
1539,Argot,Santa Rosa
95,Balletto,Santa Rosa
1586,Belden Barns,Santa Rosa
901,Benovia,Santa Rosa
333,Bink,Santa Rosa
1499,Calstar Cellars,Santa Rosa
273,Carol Shelton,Santa Rosa
1799,Cattleya,Santa Rosa
1171,Cosa Obra,Santa Rosa
35,De Loach,Santa Rosa
304,Ehret,Santa Rosa
1416,Eric Kent,Santa Rosa
1636,Ernest,Santa Rosa
1569,Fortress,Santa Rosa
1462,Frostwatch,Santa Rosa
1264,Grey Stack,Santa Rosa
1279,Hanna,Santa Rosa
184,Hook & Ladder,Santa Rosa
422,Horse & Plow,Santa Rosa
1141,Inman Family,Santa Rosa
17,Intelligent Design,Santa Rosa
806,Kasuari,Santa Rosa
1397,Kobler,Santa Rosa
155,Krutz,Santa Rosa
1545,La Pitchoune,Santa Rosa
60,Sunce Vineyard & Winery,Santa Rosa
1299,Baehner Fournier,Santa Ynez
1207,Brave & Maiden,Santa Ynez
638,Bridlewood,Santa Ynez
340,Falcone,Santa Ynez
157,Fontes & Phillips,Santa Ynez
1272,Gainey,Santa Ynez
1469,Grassini,Santa Ynez
1063,Big Basin,Saratoga
455,Cinnabar,Saratoga
468,Cooper-Garrod,Saratoga
361,Bjornstad,Sata Rosa
1106,Baker Lane,Sebastopol
1666,Chasseur,Sebastopol
1563,Dehlinger,Sebastopol
374,Dutton Estate,Sebastopol
411,Dutton-Goldfield,Sebastopol
1601,Ektimo Vineyards,Sebastopol
1341,Emeritus,Sebastopol
431,Fog Crest,Sebastopol
398,Foyt Family,Sebastopol
275,Freeman,Sebastopol
740,Furthermore,Sebastopol
1749,Halleck,Sebastopol
445,Iron Horse,Sebastopol
392,Lynmar,Sebastopol
40,Stomping Girl,Sebastopol
227,Clayhouse,Shandon
449,Cielo,Shingle Springs
498,Alma Sol,Simi Valley
1590,Chalone,Soledad
801,Chalone Vineyard,Soledad
329,Cupcake,Soledad
347,Estancia,Soledad
434,Hahn,Soledad
1138,Lucienne,Soledad
534,Buttonwood Farm,Solvang
1102,Carhartt Vineyard,Solvang
811,Harrison Clarke,Solvang
162,Jorian Hill,Solvang
352,Larner,Solvang
46,Lincourt,Solvang
945,Lucas & Lewellen,Solvang
1357,Gros Ventre,Somerset
891,La Clarine Farm,Somerset
985,Anaba,Sonoma
1429,August Truth,Sonoma
127,Bailiwick,Sonoma
785,Bennett Valley Cellars,Sonoma
628,Bonneau,Sonoma
1377,Broadway Vineyards,Sonoma
88,Buena Vista,Sonoma
944,Bump,Sonoma
869,Burt Street Cellars,Sonoma
75,Calicaro,Sonoma
1297,Canihan,Sonoma
105,Cline,Sonoma
191,Clos de la Tech,Sonoma
700,Donum,Sonoma
1663,Dunstan,Sonoma
1659,Eco Terreno,Sonoma
995,Envolve,Sonoma
224,Gloria Ferrer,Sonoma
239,Gundlach Bundschu,Sonoma
688,Hanzell,Sonoma
712,Jacuzzi,Sonoma
110,Jean Edwards,Sonoma
1001,Joseph Carr,Sonoma
451,Keating,Sonoma
720,Kendric,Sonoma
82,Lake Sonoma,Sonoma
50,Roche,Sonoma
22,Sebastiani,Sonoma
27,Stemmler,Sonoma
600,Bargetto,Soquel
1755,1850,Sutter Creek
1819,Feist,Sutter Creek
1834,Baily,Temecula
815,Callaway,Temecula
1258,Carter Estate,Temecula
1134,Danza del Sol,Temecula
1014,Falkner,Temecula
225,Fazeli Cellars,Temecula
1322,Leoness,Temecula
158,Lorenzi Estate,Temecula
1788,AronHill,Templeton
1363,Bella Luna,Templeton
1174,Burbank Ranch,Templeton
1135,Clavo Cellars,Templeton
530,Donati,Templeton
963,Epoch Estate Wines,Templeton
1053,Guyomar,Templeton
1530,Jack Creek,Templeton
1069,Archium,Thousand Oaks
776,Couloir,Tiburon
48,Bonterra,Ukiah
1811,Clos des Amis,Ventura
243,Inception,Vernon
258,Dane Cellars,Vineburg
500,Black Box,Walnut Creek
939,Hawk Watch Winery,Warner Springs
808,Dogwood,Willow Creek
55,Bruliam,Windsor
1522,Carlisle,Windsor
1551,Crux,Windsor
1476,Gamba,Windsor
1646,K Squared Cellars,Windsor
1806,Berryessa Gap,Winters
707,Guarachi Family,Woodland Hills
703,Kings Mountain,Woodside
1608,Halcon,Yorkville
925,Judson Hale Winery,Yorkville
65,Bell,Yountville
1396,Calavera Wines,Yountville
691,Chiarello Family Vineyards,Yountville
702,Cornerstone,Yountville
137,Cosentino,Yountville
842,Dillon,Yountville
306,Domaine Chandon,Yountville
741,Dominus,Yountville
471,Girard,Yountville
734,Hestan,Yountville
1105,Lampyridae,Yountville
1153,Acronym,
1488,Aequorea,
206,Aje,
1028,Alias,
840,Alouette,
1390,Alta,
636,Altvs,
1779,American Thread,
1609,Ammunition,
516,Angeline,
1463,Angels & Cowboys,
1505,Angel's Cup,
668,Anglim,
382,a-non-ah-mus,
1641,Apothic,
1130,Aquinas,
1622,Archgate Cellars,
998,Arrow Creek,
718,Artezin,
1037,Atrea,
1380,Au Contraire,
1016,Aura,
1739,Auspicion,
1410,Austerity,
721,Austin Hope,
1800,AVA Grace Vineyards,
1786,Avaler,
989,Avalon,
231,B Side,
1238,Backhouse,
626,Baileyana,
1752,Baldassari Family Wines,
1251,Balderdash,
1247,Balverne,
1804,Bar Dog,
1772,Barden,
956,Baron Herzog,
1374,Barrack,
1456,Barrel Racer,
257,Barrel Ranch,
1768,Beckon,
1820,Belharra,
674,Bella,
1649,Bella Union,
1315,Belle Ambiance,
1512,Benaddiction,
1572,Beran,
592,Big House,
561,Biltmore Estate,
669,Black Coyote,
1059,Blackburn Wine Company,
1602,Black's Station,
313,Blessing,
1408,Blue Farm,
1672,Blue Oasis,
1164,Blue Plate,
1665,Boete,
1257,Bootleg,
1737,Borrellie,
89,Bota Box,
1767,Bowman Cellars,
827,Bowtie,
991,Boyle MacDonald,
833,Brazin,
1107,Bread & Butter,
879,Breggo,
1614,Bright Angel Wines,
1031,Brooklyn West,
1286,Brooklyn Winery,
1045,Buffalo Grove,
1599,Burnside Road,
407,Butterfield Station,
762,Butterfly Kiss,
1190,Buttonwood,
1631,C R Graybehl,
1661,Ca' Del Grevino,
453,Ca' Momi,
28,Cable Car,
678,Cambridge & Sunset,
1226,Cambridge California,
246,Cameron Hughes,
1101,Camp,
1082,Campus Oaks,
5,CaptÃ»re,
1155,Caricature,
237,Carmel Hills Winery,
1304,Carmenet,
1490,Carneros Ranch,
1809,Carnivor,
580,Carpe Diem,
174,Carte Blanche,
1571,Carucci,
343,Cenay,
817,Cent'Anni,
1548,Central Coast Group Project,
541,Cerro Prieto,
391,Chateau Potelle,
1696,Chateau Souverain,
1446,Challen,
1131,Chardenet,
992,Chateau Molyneaux,
1290,Chef's Coat,
1508,Chelsea Goldschmidt,
1616,Cherry Pie,
1615,Cherry Tart,
625,Chessman,
780,Chime,
1728,Chloe,
1210,Chocolate Box,
1270,Circadia,
1229,Cirque du Vin,
1629,City Winery Chicago,
612,CK Mondavi,
677,Claudia Springs,
922,Clendenen,
278,Clos La Chance,
1137,Clos LaChance,
590,Coastal Ridge,
1562,Coastline,
1466,Cocobon,
1807,Coda,
132,Coghlan,
1509,Cold Water Creek,
860,Communication Block,
1170,Concrete,
1007,Conspire,
779,Cookies & Cream,
704,Corley Reserve,
666,Cottonwood Creek,
845,Coup de Grace,
142,Courtney Benham,
1288,Coyote Creek,
1785,Craftsman,
1186,Crespi Ranch,
1360,Criss Cross,
223,Crossbarn by Paul Hobbs,
1300,Cru,
531,Crushed,
697,Cryptic,
357,CULT,
201,Curtis,
1431,Custard,
1468,CUTT,
1436,Cuttings,
1176,Diner,
1311,Dado,
952,Dancing Bull,
1732,Daniel,
656,Dante,
1353,Dark Horse,
948,Davies,
1823,Day Owl,
1181,De Coelo,
1221,Dead On,
1281,Dealy Lane,
204,Decoy,
1810,Decroux,
1004,Deep Purple,
633,Deep Sea,
569,Delicato,
1521,Della,
1818,Di Bruno,
1259,Dichotomy,
632,Dierberg,
1375,Director's Cut,
795,Discoveries,
667,Domaine Eden,
903,Domenico,
1230,Domino,
84,Donelan,
876,Donovan-Parke,
1404,Eagle Canyon,
1639,Eaglewood,
1729,Earth's Harvest,
150,Easton,
841,Educated Guess,
1775,Eighty Four,
1366,El Pistolero,
543,El Roy,
452,Eleanor,
1774,Emerald Hare,
1814,Enkidu,
1523,Enos Vineyard,
683,Enotria,
1792,EnRoute,
819,Ensemble,
1074,Entwine,
1443,Ernest & Julio Gallo,
905,Evening Land,
1005,Evoke,
448,Evolve,
1215,Eye Candy,
872,F.J. Serra,
1784,Fallon Place,
844,Fat Cat,
1594,Fatty Pope,
1553,Feliz Noche,
144,Fidelity,
1787,First & Local,
864,Five Rows,
1223,FiveWise,
805,Fleur,
619,Fleur de Lyeth,
814,Fleuron,
1434,Floodgate,
878,Fog Head,
1581,Fog Theory,
1241,Force of Nature,
479,Forchini,
1295,Forest Glen,
671,ForestVille,
1160,Foretell,
1194,Forward Kidd,
1658,Fossil Point,
1043,Foundry,
1643,Freakshow,
87,Frenchie Winery,
804,Frog's Leap,
1740,G & L Lurton,
852,Galatea Effect,
1000,Gallegos,
1765,Game of Thrones,
1403,Gauguine,
1448,Gehricke,
1118,Genius Wines,
1163,Ghost Pines,
1816,Ghostrunner,
679,Gibbs,
130,Girasole,
960,Girl Go Lightly,
1015,Glenwood Cellars,
1346,Goat Bubbles,
1534,Golden Triangle,
1206,Goyette,
1723,Grand Napa,
660,Grandmaster,
1312,Graton Ridge,
986,Green Truck,
1600,Grevino,
1547,Grey Wolf Cellars,
515,Greystone,
1650,Grimm's Bluff,
1603,Grow Wines,
1680,Guenoc,
709,Hacienda,
474,HammerSky,
1450,Hanaiali'i,
268,HandCraft,
732,Hangtime,
9,Happy Camper,
1513,Haraszthy,
1726,Hard Six Cellars,
487,Harlow Ridge,
862,Hartford Court,
1173,Hartley-Ostini,
272,Hawkstone,
1612,Hayes Valley,
1664,Head High,
253,Healdsburg Ranches,
823,Heavyweight,
1498,Heintz,
187,Hensteeth,
1379,Hertelendy,
467,Hey Mambo,
927,High Valley Vineyard,
1455,Holus Bolus,
1598,Hooker,
609,Hop Kiln,
1657,Hungry Blonde,
1253,Hyde de Villaine,
1008,II Moons,
972,IL Gioiello,
1706,Ila,
1756,Illumination,
877,Immersion,
7,iNapa Wine,
67,Indulge,
1710,Inglenook,
1256,Inkling,
508,Insomnia,
1674,Iron Hub,
1662,Irony,
1309,Isabel Mondavi,
359,J Ludlow,
78,J. Davies,
854,J. Rochioli,
494,Jack Nicklaus Wines,
1500,Jackson Estate,
1182,Jacob Franklin,
790,James Mitchell,
80,Jaxon Keys,
698,Jeff Gordon,
507,Jellybean Wines,
1012,Jeunesse,
1632,Jim Palmer,
1766,Joey Tensley,
976,Josh Cellars,
1314,Julietta,
428,Juslyn Vineyards,
902,Katherine Goldschmidt,
1066,Keenan,
646,Kidder Family Wines,
1770,Kings Carey,
859,Kirkland Signature,
1094,Koz,
705,Kumbaya,
917,L de Lyeth,
