Name,Country,Region,Description
Uzicka prsuta,SERBIA,UZICE,"Uzicka prsuta is a variety of smoked ham that has been traditionally prepared in the mountainous district of Zlatibor, namely in Cajetina, Uzice, and Nova Varos municipalities. This meat specialty came to be known as uzicka prsuta because it used to be sold in Uzice along many other regional products at the time. Beef, pork, and mutton can be used for the preparation of this meat product, although the most traditional is smoked beef meat, which is known as uzicka goveca prsuta in Serbia. The finest beef pieces from parts of the legs, tenderloins, sirloins, and the low end of the back of 4 to 6-year-old oxen are salted, then smoked with dry beech wood, and dried in the cool mountain air."
Presunto de Campo Maior e Elvas,PORTUGAL,CAMPO MAIOR,"The Campo Maior and Elvas ham and paleta are made using pork taken from Alentejo breed pigs raised in the municipalities of Campo Maior and Elvas in Portalegre. These pigs are raised outdoors, feeding on grasses, cereals, and legumes. The ham is made from the hind leg of the pig, while the paleta is made from the foreleg. In both cases, the hoof and the outer skin is left on. The production process is based on local methods, and is divided into several stages: cutting, salting, the post-brining (drying), and curing or aging, which lasts up to a year under natural conditions. "
Presunto de Vinhais,PORTUGAL,BRAGANÇA DISTRICT,"Vinhais ham is a smoked pork meat specialty made from the hind legs of Bisaro pigs raised in the municipality of Bragança in Portugal. Vinhais presunto is made by first massaging raw cuts of pork to eliminate the internal fluids. These pieces are then covered with salt and sprinkled with a mixture of paprika, oil, and pork lard, and smoked over a low heat using dry oak or chestnut wood. The ham has a color ranging from pink to dark red, and it has a predominantly salty, smoky flavor."
Prosciutto Amatricano,ITALY,PROVINCE OF RIETI,"The origins of this typical product of the Lazio region date back to medieval times when preserved meats were used as a tribute for feudatories or means of payment. This Italian ham was named after the town of Amatrice in the province of Rieti. The area of production comprises not only Amatrice but all other municipalities settled up to 1200m above sea level. Amatriciano's most distinctive feature comes from the traditional trimming technique, performed particularly high on the fresh leg."
Presunto de Melgaço,PORTUGAL,MELGAÇO,"The municipality of Melgaço, strongly influenced by the Minho river, is a must for all lovers of great food. The region's cuisine, while simple, is exceptionally delicious. In addition to the region's excellent wines, one of its most famous products is Melgaço ham. Produced for over 500 years, the unique shape of this smoked ham is achieved by making a long cut along the leg and extending the leg until straight. It is sold whole, sliced, or cubed. The interior of this presunto is an intense red and the meat is smooth and shiny with moderate marbling."
Prekmurska Sunka,SLOVENIA,PREKMURJE,"With its recognizable pear-shaped appearance, Prekmurska sunka easily differs from other Slovenian cured meats. Made by choosing only the finest of pork legs, together with the skin and bacon, Prekmurje hams are traditionally dry-cured in salt and spices, smoked and then gradually coated with a mixture of buckwheat flour, red peppers and spices. Lastly, they are left to mature for a period of at least 6 months. During that time, relatively dry but harsh winters, with brisk air coming from Goricko hills, and other conditions typical for the continental climate together contribute to the making of the final product. "
Crudo di Cuneo,ITALY,PROVINCE OF CUNEO,"Italy has a long tradition of producing hams of exceptional quality, particularly in the north, which is where this prosciutto comes from. Crudo di Cuneo is produced in the provinces of Cuneo, Asti and Turin, located in Piedmont, a region of Italy settled at the foot of the Alps, bordering France and Switzerland. The regulations impose that only fresh pork legs are used, from Large White, Landrace and Duroc breed of pigs born, raised and slaughtered in the designated region, and fed largely with locally produced cereals. A very meticulous method of curing and drying this variety of prosciutto takes at least 10 months, and the aging doesn't affect the vitamin content of the meat."
Porcaloca,ITALY,FRIULI-VENEZIA GIULIA,"Porcaloca is a variety of cured meat from the Italian region of Friuli Venezia Giulia, produced around the cities of Chiopris Viscone, Aiello del Friuli, and Palmanova. Made with a whole de-boned goose filled with salted lean pork, porcaloca is first slowly baked in the oven, then lightly smoked, which results in a delicate, savory-sweet flavor similar to prosciutto cotto. Once opened, the sliced porcaloca shows compact texture, brightly red in color, with visible separation between goose meat and pork. It is best enjoyed thinly sliced, served with hearty, high-quality bread."
Brési,SWITZERLAND,CANTON OF JURA,"This cured meat product is served thinly sliced as a part of the charcuterie platter, an appetizer, or a side dish accompanying fondues. The name brési is derived from the meat's vibrant red color that's reminiscent of brazilwood, an exotic Asian timber. Brési was first made around the 15th century."
Afyon Pastcrmasc,TURKEY,AFYONKARAHISAR PROVINCE,"Traditionally produced in the Aegean province of Afyonkarahisar, Pastcrmasc is a Halcl certified cured meat product of Anatolian origin. Also known as pastirma, pastourma, bastirma, basterma or basturma (Turkish for 'pressed meat'), the heavily seasoned, spice-coated beef is one of the essential ingredients of Ottoman cuisine. In fact, in Turkey alone there are more than twenty different varieties of pastcrma. Afyon Pastcrmasc is prepared by salting the beef, then washing it with water and letting it dry. After about two weeks, the blood and excess salt are pressed out of the meat which is, prior to thorough air-drying, thickly coated with çemen, a red spice paste made with garlic, fenugreek, cumin and hot paprika."
Salaisons Fumées - Marque Nationale Grand-Duché de Luxembourg,LUXEMBOURG,LUXEMBOURG,"Salaisons Fumées - Marque Nationale Grand-Duché de Luxembourg are hams made with legs of pork which must carry the national protected Luxembourg brand name for pork or the equivalent foreign designation. The ham has a distinctive flavor owed to the long curing time of at least 10 months and the smoking process, which is typical for Luxembourg hams. The hams are thoroughly examined before being placed on the market and branded with a special stamp. Although this product is made throughout the whole year, the production usually takes place during the autumn and winter months. These hams are made in a traditional way by approximately 20 butchers or sausage makers."
Elenski But,BULGARIA,ELENA,"Elenski but is a traditional Bulgarian dry-cured meat product hailing from the Bulgarian town of Elena and nearby villages. This specialty is made with fresh pork leg that is cut, salted, and then cured over a bed of salt and bacon in a wooden cask that is typically made of oak. Once the curing process is finished, the pork leg is first rinsed with boiling water and sauerkraut juice, and it is then air-dried for at least 6 months. The finished meat product is usually consumed raw or lightly baked, and it makes for a perfect meze when served with a glass of Bulgarian red wine or beer on the side."
Holsteiner Katenschinken,GERMANY,SCHLESWIG-HOLSTEIN,"This North German ham is a specialty of the Schleswig-Holstein region. To produce this cured ham, pork meat is smoked for up to eight weeks over an open fire. With the introduction of closed fireplaces, the smoking process shifted to special smoking chambers or barns. The aroma of Katenschinken is strong and intense, however its consistency is very delicate and its flavor is mild. The ham has a mahogany-colored appearance, and it should not be black, sooty, or brown. The original, mildly flavored Holstein ham is suitable for making sandwiches, bread rolls, and other various appetizers."
Prosciutto Veneto Berico-Euganeo,ITALY,VENETO,"This prosciutto originates from the provinces of Padova, Vicenza and Verona in the Veneto region, where techniques for preserving and processing pork were known and widespread as far back as Pre-Roman times. It is mainly produced in the Po valley and at the foothills of the Berici and Euganean Hills. As a result of a refined and strict processing technique, Prosciutto Veneto Berico-Euganeo attains its elegant, lively and rich, full-bodied taste. Its delicate aroma and tenderness make it perfect for cookery, but it is more typically served as an appetizer, especially with Pan Biscotto, a type of crisp bread from the Veneto region."
Jambon sec de Corse,FRANCE,CORSICA,"Jambon sec de Corse is a salted, dry-cured and matured ham made from the meat of the local Nustrale breed of pork, coming from the French island of Corsica, where the soil and climate favorably influence the taste of the meat. The animals feed mostly on local chestnuts and acorns for at least the first 30 days, after which the diet is supplemented with barley. Jambon sec de Corse is matured for at least 12 months, acquiring its unique texture and flavors. When sliced, the ham is lean and red to deep red, well marbled with intramuscular fat."
Kraski prsut,SLOVENIA,SEZANA,"The gold standard of Slovenian cured meats - Kraski prsut, also known as Karst prosciutto or simply Karst ham, is a non-smoked, dry-cured ham with more than a hundred years old tradition. Its truly authentic flavor is the result of favorable climate conditions in the Karst region, which have a direct influence on the dynamic of drying and aging. Regardless of today's technological innovations, the manufacturers of this prized ham have retained the traditional methods of production. Rich in vitamins and minerals, this extremely nutritional dry-cured ham also has an even higher protein content than the one found in cooked meat."
Prosciutto di Sauris,ITALY,SAURIS DI SOPRA,"This variety of prosciutto comes from the small northern Italian village of Sauris di Sotto, settled in the region of Friuli-Venezia Giulia. All Sauris hams must come from the Large White, Landrace and Duroc pig breeds. Unlike other Italian hams, Prosciutto Toscano is cured by both salt and smoke, which is a common practice in sub-Alpine Italy due to the influence of Germanic traditions. The hams are smoked for about five days over a combination of woods including birchwood, silver fir, chestnut, beech, and maple, and also herbs like rosemary, sage, thyme, and juniper. This gives their rind a kind of a golden to orange color. After the smoking, Tuscan hams are salted and left to mature."
Jamón de Teruel,SPAIN,PROVINCE OF TERUEL,"Jamón de Teruel and Paleta de Teruel are the cured hams and shoulders made of pigs meat from the Duroc, Landrace and the Large White breeds, in the province of Teruel. These hams are usually covered in mold on the outside when the process of aging and curing is finished. They are then cleaned and lightly coated with oil. When cut, these hams and shoulders are red and shiny due to the high fat content, which also gives it juiciness and a smooth texture. The taste is very aromatic with complex nutty and woody aromas and sweet undertones that complement the savory flavors."
Jambon Sec des Ardennes,FRANCE,ARDENNES,"Jambon sec des Ardennes and Noix de Jambon sec des Ardennes are pig's meat hams that are dried and rubbed with salt containing special flavorings, spices (including juniper berries) and sugar, produced in the French region of Ardennes. The fat in the hams is white and its texture is firm, with a nice, pleasant smell. The hams are dry at the end of the production process, but not hard to the touch or bloated. They are usually sold whole, halved or sliced, with their fruity aroma and dried meat, melon fruit and salty flavor developed fully."
Jambon d'Auvergne,FRANCE,AUVERGNE,"Jambon d'Auvergne is a dried pork ham made from the hind leg, produced in the French region of Auvergne (departments of Cantal, Haute-Loire, Lot, Corréze and Puy-de-Dôme). The ham is dried, salted and matured for at least eight months and it is never smoked. The weight of the ham with the bone still in must be at least six kilograms. The pigs feed on cereals and oilseed, giving the ham a soft, dry texture and an intense, unique flavor of dried pork, hazelnuts and hints of garlic that linger in the mouth."
Jamón ibérico de cebo de campo,SPAIN,,"Jamón ibérico de cebo de campo is a variety of Iberian dry-cured and aged ham. It is made with the meat of free-range, black Iberian pigs that are either 75% or 50% pure Iberian breed. What distinguishes this variety of ham from the Iberian bellota variety is the pigs’ diet, which (apart from acorns) includes commercial feed. The ham has a green label to distinguish it from the other Iberian ham varieties. This Iberian ham variety, along with the other grain-fed variety known as cebo, is generally sold for half the price of the acorn-fed or bellota ham variety."
Jambon de Vendée,FRANCE,VENDÉE,"Jambon de Vendée is a smoked, cured and boneless ham made from pig's meat in the French region of Vendée. The pigs used to get the final product are reared in the open air where they roam freely. The ham is hand rubbed with natural sea salt, a specific blend of herbs and spices (cinnamon, pepper, thyme and bay leaves) and brandy. It is left to mature slowly, over the course of three months, wrapped in cloths and pressed between two wooden boards, when it develops its characteristic brown rind and rich, sweet, meaty flavors. After the drying, the smoking the ham is optional."
Jamón de Trevélez,SPAIN,TREVÉLEZ,"Jamón de Trevélez is a cured ham produced in the southeast of the province of Granada. This famous ham has been manufactured in the region of Granada for more than two hundred years and has been recognized for its exceptional quality and characteristics. The meat that is used for this ham comes from pigs of the Landrace, Large White and Duroc–Jersey breeds. The climate and environment in which this ham is produced make it different from hams produced elsewhere. Because this region has very cold winters and cool summers, it is possible to cure and dry the meat for extended periods of time without using any preservatives and additives."
Spalla Cotta,ITALY,PROVINCE OF PARMA,"Spalla cotta is a type of salumi traditionally prepared in the low Parma region, including its place of origin, San Secondo, as well as Roccabianca, Pievottovielle, Fontanellato, and the province of Cremona. To prepare this specialty, a cut of pork shoulder with the coppa or cup attached to it is seasoned with salt and pepper, flavored with cinnamon, nutmeg, and garlic, encased within a pork or beef bladder, manually tied with rope mesh, and then allowed to age in a cold place, typically for one or two months. The cured meat is traditionally simmered with water, wine, and bay leaves, then consumed hot or chilled. Solid, tender, and fragrant, the cold cut usually weighs up to 8 kilograms and it is characterized by a reddish brown outer surface and pink meat on the inside, with defined red muscle mass and white marbling throughout."
Botillo del Bierzo,SPAIN,EL BIERZO,"Botillo del Bierzo is a meat product made by stuffing various cuts of pigs meat, mostly rib and tail meat, into the casing. Botillo del Bierzo is then marinated with garlic and paprika, smoked and cured. It is traditionally produced in the region of El Bierzo. It is oval-shaped, red in color and usually weighs between 500 and 1600 grams. Botillo del Bierzo has an intense flavor and smokey aroma. One of the main ingredients in this product is paprika, which has been traditionally cultivated in the Bierzo region and is used in this product as a preservative."
Smithfield Ham,US,SMITHFIELD,"Smithfield ham is a trademarked country ham hailing from Smithfield, Virginia, where it's finish-cured. The ham is made from pork meat that's processed, treated, hickory-smoked, aged, salted, cured, and aged for at least 6 months (some might be aged for up to 2 years). The whole process must be done within Smithfield and the pigs must be fed a diet of peanuts and grains. Smithfield ham has a dry and stringy texture, while the flavors are salty. Nowadays, there is a wide range of Smithfield ham versions, such as Baked Apple Spiced Spiral Sliced Ham, Brown Sugar Spiral Sliced Ham, Crunchy Glaze Spiral Sliced Ham, or Pecan Praline Spiral Sliced Ham."
Coppa di Parma,ITALY,EMILIA-ROMAGNA,"Depending on the exact area of production and its features, this deli meat is often given other names such as Capocollo, Lonza or Lonzino. Many historical sources indicate that Coppa di Parma has been in production since the late 1600s, when it was called Bondiola, after the pork bowels (Ita. bondeana) in which the meat was wrapped. Today, Coppa di Parma is made from the precisely trimmed muscular portion of the pig's neck, also stuffed into natural casings, and produced within the regions of Emilia-Romagna, Piedmont and Lombardy. Apart from the high quality of lean meat, what makes Coppa and other typical Po Valley products so special is in fact the humid microclimate of the region."
Tasso Ham,US,LOUISIANA,"Tasso ham is a traditional Cajun cured meat product originating from Louisiana. Although this cured meat product contains the word ham in its name, it's actually made from pork shoulder. The meat is sliced across the grain and the slices are then cured in salt and a bit of sugar for a few hours before they're rinsed, rubbed with salt, pepper, garlic, and cayenne pepper, and hot-smoked until fully cooked. This dish can be eaten as it is, but it's also often used in stews, soups, rice, red beans, and gumbo. The term hasso comes from the Spanish word tasajo, denoting a slice of cured dried meat. The earliest meantion of tasso ham dates back to the late 1700s."
Presunto do Alentejo,PORTUGAL,BEJA DISTRICT,"Alentejo ham is a regional specialty made from the legs and shoulders of Alentejo pigs produced in the districts of Castelo Branco, Portalegre, Santarém, Évora, Beja, Setubal, and Faro. These areas typically have hot and dry summers and cold winters. Throughout the centuries, the residents of these regions learned to work with this climate to develop a natural drying process for ham that does not resort to the use of smoke or any other external factors besides the addition of salt. When cut, the ham is reddish-pink to dark red and highly marbled."
Presunto de Santana da Serra,PORTUGAL,SANTANA DA SERRA,"Santana da Serra ham is made using pork taken from Alentejo breed pigs, which are raised outdoors and feed on a diet consisting of wild herbs and cereals. Santana da Serra presunto is made of thigh meat, while paleta is made from shoulder. The skin is left on the hams in both cuts. The production process is a lengthy one – the meat is first cut, and then salted and hung to dry for several days before being left to cure for one to two months. The meat is then dried for two to four months, and then aged under special conditions for three to six months."
Presunto de Barroso,PORTUGAL,BARROSO,"The long history of the Barroso ham is linked to the local Bisaro-Transmontano pig, a traditionally-bred breed that has been of key importance to communities in the area for centuries. Barroso ham is a smoked meat specialty with a specific flavor arising from the animals' diet of rye, potatoes, cabbage, turnips, and acorns. This ham is made by salting a leg of young pork and drying it for two weeks before rubbing it with a mixture of olive oil and paprika and cold-smoking with oak for at least two weeks. The Barosso ranges in color from bright to dark red with yellowish-white marbling."
Presunto de Barrancos,PORTUGAL,BARRANCOS,"Presunto de Barrancos is a cured ham specialty originating from the small town of Barrancos in southeastern Portugal. Barrancos ham comes from the Alentejo region, which has a Mediterranean microclimate with high summer temperatures, high relative humidity, and steady winds. These are the ideal conditions for air-drying ham. The regions dense oak forests enable the Alentejo pigs to roam free, feeding on acorns and grass. This ham is therefore finely marbled, and the oleic acid in the acorns provides an additional distinct flavor."
Krcki prsut,CROATIA,KRK,"This Croatian prosciutto hails from the island of Krk, and what makes it unique is the specific way of production which is a peculiar blend of the two traditional ham curing methods. Unlike its Istrian and Dalmatian counterparts which are, respectively, trimmed of skin and smoked, Krk prosciutto is a non-smoked ham cured skin-on after being dry-salted with sea salt flavored with pepper, rosemary, and bay leaf. Despite being equipped with the latest technological solutions, the manufacturers of Krcki prsut use a natural system of curing whenever possible, which means the hams are left to dry and mature in the strong, salt-bearing Bora wind, characteristic for the Adriatic."
Prosciutto di Carpegna,ITALY,CARPEGNA,"Named after the town of Carpegna, settled in the province of Pesaro e Urbino in the Marche region, this variety of an Italian dry-cured ham is produced by using pigs born, raised and slaughtered exclusively in the regions of Marche, Lombardy and Emilia-Romagna. With such a long tradition of pig farming and meat curing in the wider Carpegna area dating back to the 15th century, Prosciutto di Carpegna is known to be one of the most prized products of the Marche region. After two saltings, the hams are matured for a period of at least 13 months."
Coppa Piacentina,ITALY,PROVINCE OF PIACENZA,"The recipe for this traditional Italian deli meat has been passed down for generations, and in every country farmhouse, Coppa was considered a special treat, eaten for holidays and other special occasions. Some of those recipes found around the Nure and Trebbia Valleys date back to the 1800s, when Coppa was known as Bondiola and described as a cured pork cut seasoned with salt, pepper, cinnamon, sugar and cloves. Produced in the Arda Valley southeast from the city of Piacenza, Coppa Piacentina is made with a big, round cut of pork that runs from where the shoulder meets the neck to the fourth-sixth rib of what is known as pork carré. The meat is stuffed into natural pork or beef casings, and aged between six months to a year."
Tiroler Speck,AUSTRIA,TYROL,"Produced in a traditional manner by Austrian farmers, Tiroler Speck is one of the oldest Tyrolean specialties whose origins can be traced back to the 1500s. This bacon is first dry-salted and seasoned with a special blend of spices, cold smoked over beech wood, and finally dried and matured in the crisp Alpine air. Prepared in this manner, Tyrolean bacon developes its uniquely intense flavor. Traditionally served in thin slices, Tiroler Speck is an essential part of what is known as Bretteljause or Marend, a typical Austrian platter with assorted meats."
Dehesa de Extremadura,SPAIN,PROVINCE OF CÁCERES,"Dehesa de Extremadura is a cured ham and shoulders made of pure-bred Ibérico-pigs meat produced in the provinces of Cáceres and Badajoz. The manufacturing process takes at least 18 months for hams and 12 months for the shoulders and consists of salting, resting, curing and aging. During curing and aging, the product naturally dries and fat infiltrates the meat evenly which gives this ham juiciness. This special method of production allows for a product of a unique aroma and flavor that is recognized by its complexity and intensity."
Jambon de la Borne,SWITZERLAND,CANTON OF FRIBOURG,"Jambon de la borne is a smoked ham prepared in the Swiss canton of Fribourg. Made with well-chilled, fresh pork leg that is carefully rubbed with salt, sugar, saltpeter, and spices such as pepper, cloves, juniper, and bay leaves, jambon de la borne must be left to rest in a mixture of salt and spices for at least 6 weeks before being smoked - strictly with wood-fired smoke. This cured delicacy is best enjoyed as a starter paired with slices of bread, or as a flavor enhancer in various savory dishes. Jambon de la borne is also an inevitable part of a traditional meal prepared for Bénichon, Fribourg thanksgiving festival."
Jambon de l'Ardéche,FRANCE,ARDÈCHE,"Jambon de l'Ardéche is a dry-cured ham made from the hind leg of a pig, produced in the mountainous Rhône-Alpes region in France, with favorable cold air and temperature conditions. It holds a minimum weight of 8,5 kilograms when still fresh, and is left to mature for at least seven months. It is hand-rubbed with salt, pepper and various spices. The ham is also coated with a blend of lard, spices and chestnut flour. The older the ham, the more intense its flavor becomes, and the meat becomes firmer. It can optionally be lightly smoked with chestnut wood."
Prosciutto di Norcia,ITALY,PROVINCE OF PERUGIA,"Here in the mountainous Umbria, a region rich in oak forests where the tradition of pig breeding and meat curing dates back to the Roman times, it is said that a good prosciutto needs to 'live through at least one winter and one summer'. This variety of prosciutto is produced in the province of Perugia, namely the town of Norcia and in the Valnerina valley. There are two types of Prosciutto di Norcia. The widely popular Tipico di Norcia, also known as Salato or Prosciutto di Montagna, is aged for up to 12 months and famous for its intense salty flavor, but the high point of Umbrian charcuterie is actually L'Antico di Norcia, a type of ham matured slowly in the brisk and dry mountain air for two whole years."
Jambon du Kintoa,FRANCE,PYRÉNÉES-ATLANTIQUES,"Jambon du Kintoa is a renowned dry-cured ham made with pork meat coming from free-range pigs, known as pie noir du Pays Basque. Salted with dry salt from Bassin de l'Adour, and dried for a minimum of 17 months, jambon du Kintoa is marbled with velvety fat that slowly melts in the mouth. The dark red, lean meat is tender, soft, and elastic, with deep, fruity flavors reminiscent of spices and nuts. Jambon du Kintoa is best enjoyed at room temperature, paired with bread and fresh or pickled vegetables."
